Position,Company,Location
Statistical Analyst,Hawkins Diagnostics,"Atlanta, GA"
Lead Decision Scientist,"Moxie Interactive, Inc.","Atlanta, GA 30313 "
Scientist I - Sensory Panel Leader,The Coca-Cola Company,"Atlanta, GA 30301 "
Data Scientist or Data Scientist Lead PS10268,"Anthem, Inc.","Atlanta, GA 30301 "
Lead Decision Scientist,Moxie,"Atlanta, GA"
Senior Cyber Security Data Scientist,Bank of America,"Atlanta, GA 30306 "
Scientist II/Ecologist II,HNTB Corporation,"Atlanta, GA 30327 "
Data Engineer,Gallup,"Atlanta, GA"
"Manager, Data Scientist",KPMG,"Atlanta, GA 30338"
Machine Learning / Artificial Intelligence Research Scientist,Symantec,"Atlanta, GA 30338"
Statistical Quantitative Analyst,SunTrust,"Atlanta, GA"
Research Scientist,MacDermid Inc.,"Atlanta, GA"
Environmental Scientist,Tetra Tech,"Atlanta, GA"
"Scientist, Asst Bioinformatics",Emory University,"Atlanta, GA"
Research Analyst,Evident,"Atlanta, GA"
"Scientist, Asst (AR) SOM",Emory Healthcare,"Atlanta, GA 30322"
"Analyst, Research",Turner,"Atlanta, GA 30319"
"Director, NLP Data Scientist",KPMG,"Atlanta, GA 30338"
Quantitative Analyst,GreenSky,"Atlanta, GA 30342 "
"Scientist, Asst (AR) SOM",Emory University,"Atlanta, GA"
"Senior Associate, Data Scientist (NLP/AI)",KPMG,"Atlanta, GA 30338"
"Data Engineer - GC Insights, New Ventures",McKinsey & Company,"Atlanta, GA 30318 "
"Sr Scientist II, Analytical Science",The Coca-Cola Company,"Atlanta, GA 30301 "
HIV Research Scientist,Eagle Medical Services,"Atlanta, GA"
Research Scientist,PreVisor,"Atlanta, GA"
"Azure Data Scientist, Manager",KPMG,"Atlanta, GA 30338"
"Associate Scientist, SOM",Emory University,"Atlanta, GA"
"Data Engineer, Scala",CapTech Consulting,"Atlanta, GA"
"Director, Financial Services - Data Scientist",KPMG,"Atlanta, GA 30338"
"Regulatory Labeling, Advertising and Promotion Scientist",UCB,"Atlanta, GA"
Product Development Scientist,The Coca-Cola Company,"Atlanta, GA 30301 "
Research Scientist I,Georgia State University,"Atlanta, GA"
"Data Scientist - Senior Consultant - Orlando, Florida",Capgemini,"Atlanta, GA"
Lead R & D Engineer/Scientist,Honeywell,"Atlanta, GA 30308 "
Quantitative Finance Analyst,Bank of America,"Atlanta, GA 30308 "
Advertiser Research Analyst,Cox Media Group,"Atlanta, GA"
"Manager, Data Scientist (ML/NLP) -- Financial Services",KPMG,"Atlanta, GA 30338"
Research Informatics Analyst,Emory University,"Atlanta, GA"
Enterprise Data Analyst & Data Engineer,Novelis,"Atlanta, GA"
2018 - Health Research Analyst 2 - New,Northrop Grumman,"Atlanta, GA 30301 "
Business Intelligence Engineer,Amazon.com,"Atlanta, GA"
Staff Research Scientist VII: Informational Interpretation Researcher,The Hexagon Lavish,"Atlanta, GA"
"Scientist, Asst (AR) School Of Medicine (SOM)",Emory University,"Atlanta, GA"
"Entry Level Geologist, Engineer or Environmental Scientist",Wood,"Atlanta, GA"
"Regulatory Labeling, Advertising and Promotion Scientist",UCB S.A.,"Atlanta, GA"
Quantitative Analyst,Voya Financial,"Atlanta, GA 30327 "
"Director, Data Scientist -- Financial Services/Insurance",KPMG,"Atlanta, GA 30338"
Quantitative Finance Analyst/C++ Developer,Bank of America,"Atlanta, GA 30308 "
"Azure Data Scientist, Senior Associate",KPMG,"Atlanta, GA 30338"
Research Analyst,"Epiq Systems, Inc.","Atlanta, GA"
Coding Research Analyst,Zelis Healthcare,"Atlanta, GA"
Quantitative Analyst,Intercontinental Exchange,"Atlanta, GA"
Data Visualization Software Engineer,KPMG,"Atlanta, GA 30338"
"Business Intelligence Analyst, People Analytics & Measurement",McKinsey & Company,"Atlanta, GA 30318 "
Mid Data Scientist - Machine Learning,Elev8 Hire Solutions,"Atlanta, GA 30342 "
Vendor Research Analyst,Northside Hospital,"Atlanta, GA"
Big Data SW Engineer,KPMG,"Atlanta, GA 30338"
"Senior Scientist, Content Science","Pandora Media, Inc.","Atlanta, GA"
Sponsored Research Financial Analyst,Emory University,"Atlanta, GA"
BI Quantitative Analyst,Children's Healthcare of Atlanta,"Atlanta, GA 30341"
R&D Innovation Engineer - Video Analytics/Machine Learning,Honeywell,"Atlanta, GA 30308 "
Lead Data Engineer,ThoughtWorks,"Atlanta, GA 30361 "
Data Analytics Engineer / Big Data Engineer,UST Global Inc.,"Atlanta, GA"
Corporate Investment Quantitative Finance Analyst,Bank of America,"Atlanta, GA 30308 "
Malware Analyst,ICF,"Atlanta, GA"
Principal Research Scientist I: Informational Library Architect Extraordinaire,The Hexagon Lavish,"Atlanta, GA"
Market Research Analyst,SKIM,"Atlanta, GA"
"Senior Scientist, Advertising","Pandora Media, Inc.","Atlanta, GA"
"Senior Associate, Data Scientist/Statistics -- Financial Services",KPMG,"Atlanta, GA 30338"
Assistant Scientist - Metabolics Division Lead,Emory University,"Atlanta, GA"
"Senior Data Engineer, Next Big Sound","Pandora Media, Inc.","Atlanta, GA"
Market Research Analyst,ResMed,"Atlanta, GA"
Biomedical Engineering: Faculty Position - Open Rank (Asst or Assoc Professor),Emory University,"Atlanta, GA"
"Senior Scientist, Immunology","GeoVax, Inc.","Atlanta, GA"
Software Engineer,FraudScope,"Atlanta, GA"
Sr. Data Scientist – Market Research,Analytic Recruiting,"Atlanta, GA"
Certifying Scientist / Quantitation Scientist,Lighthouse Lab Services,"Atlanta, GA"
Senior Data Scientist,Smith Hanley Associates,"Atlanta, GA"
Big Data Engineer (mid to senior level),GreenSky,"Atlanta, GA 30342 "
Data Scientist,"Xpect SVC, LLC","Atlanta, GA 30326 "
Windows Programmer / Software Engineer - Intermediate/Senior -ELSYS -7332,The Goal Inc.,"Atlanta, GA"
Sr. Data Engineer,Optomi,"Atlanta, GA"
Electrical / Substation Design Engineer,Burns & McDonnell,"Atlanta, GA 30309 "
Windows Programmer / Software Engineer (Advanced Degree) - ELSYS,Georgia Tech Research Institute,"Atlanta, GA 30318 "
Electrical/Computer Engineer - EOSL,Georgia Tech Research Institute,"Atlanta, GA 30318 "
Windows Programmer / Software Engineer - Entry/ Intermediate -ELSYS - 7333,The Goal Inc.,"Atlanta, GA"
Principal Research Scientist,Headway Workforce Solutions,"Atlanta, GA"
Senior Business Intelligence Analyst,The Home Depot,"Atlanta, GA"
"Senior Software Engineer, Machine Learning","Pandora Media, Inc.","Atlanta, GA"
Scientist,R&D Partners,"Atlanta, GA"
Engineering Co-op,Golder Associates,"Atlanta, GA 30341"
Senior Marketing Research Analyst,HD Supply,"Atlanta, GA 30309 "
Associate Research Scientist,R&D Partners,"Atlanta, GA"
Entry-Level Electrical Engineer,Burns & McDonnell,"Atlanta, GA 30309 "
Staff Software Engineer,General Electric,"Atlanta, GA 30319"
Principal Engineer,Cotiviti,"Atlanta, GA"
DevOps Engineer - ELSYS,Georgia Tech Research Institute,"Atlanta, GA 30318 "
"Senior Analyst, Payments Study - GC Insights, New Ventures",McKinsey & Company,"Atlanta, GA 30318 "
"Senior Analyst - Multi-client Benchmarks, GC Insights - New Ventures",McKinsey & Company,"Atlanta, GA 30318 "
BI - Analytics - Cloud Platform Operations Analyst,The Coca-Cola Company,"Atlanta, GA 30301 "
Sr Quantitative Finance Analyst/C++ Developer,Bank of America,"Atlanta, GA 30308 "
"Senior Engineer II, Packaging Research",The Coca-Cola Company,"Atlanta, GA 30301 "
Senior Research Analyst and Team Lead - HR Insights - Bersin,Deloitte,"Atlanta, GA"
Implementation Engineer (Machine Learning/Data Analytics),"eHire, LLC","Atlanta, GA 30326 "
Windows Programmer / Software Engineer- ELSYS,Georgia Tech Research Institute,"Atlanta, GA 30318 "
Cyber Security Systems Engineer,ICF,"Atlanta, GA"
Data Scientist,Matrix Resources,"Atlanta, GA 30328"
Environmental Project Engineer - CCR/Fly Ash NPDES,Stantec,"Atlanta, GA"
Technical Lead Data Engineer/Architect,Beacon Hill Technologies,"Atlanta, GA"
Sr. Staff Enterprise Application Engineer,General Electric,"Atlanta, GA 30319"
Senior Firmware Engineer - ELSYS,Georgia Tech Research Institute,"Atlanta, GA 30318 "
Senior Analyst - Marketing Research,GEORGIA-PACIFIC,"Atlanta, GA"
Senior Web Developer,Perficient,"Atlanta, GA 30338"
Senior Software Engineer,Feedzai,"Atlanta, GA"
Sr Staff Software Engineer,General Electric,"Atlanta, GA 30319"
Data Scientist,"Elavon, Inc.","Atlanta, GA 30328"
"Senior Analyst - GC Insights, New Ventures",McKinsey & Company,"Atlanta, GA 30318 "
Senior Market Research Analyst,Pearson,"Atlanta, GA"
Data Scientist,Cardinal Solutions,"Atlanta, GA"
Data Scientist,Operation HOPE,"Atlanta, GA 30303 "
Advanced Data Scientist,Honeywell,"Atlanta, GA 30308 "
Data Scientist,The Coca-Cola Company,"Atlanta, GA 30301 "
Jr. Data Scientist,Jvion,"Atlanta, GA"
Data Scientist III,Honeywell,"Atlanta, GA 30308 "
Data Scientist,U.S. Bank,"Atlanta, GA"
Data Scientist,Catalina Marketing,"Atlanta, GA"
Research Analyst,"Happy Faces Personnel Group, Inc.","Atlanta, GA 30345"
Data Science Solutions Lead(Data Engineer)-PS10274,"Anthem, Inc.","Atlanta, GA 30301 "
Computer Network Defense (CND) Analyst,ICF,"Atlanta, GA"
Computer Operator/Support Engineer,Oversight Systems,"Atlanta, GA"
Operations Research Analyst (contractor role),Norfolk Southern Corp,"Atlanta, GA 30309 "
Compensation and HRIS Analyst,Scientific Research Corporation,"Atlanta, GA 30339"
Sr Quantitative Finance Analyst,Bank of America,"Atlanta, GA 30308 "
Front End Engineer,Loyal,"Atlanta, GA"
Sr. Market Research Analyst,SKIM,"Atlanta, GA"
Software Engineer - 6943,The Goal Inc.,"Atlanta, GA"
Systems Software Engineer,Emory University,"Atlanta, GA"
Senior Packaging Engineer I - PET,The Coca-Cola Company,"Atlanta, GA 30301 "
"Junior DevOps Software Engineer – Secureworks – Atlanta, GA, Austin, TX or Remote",DELL,"Atlanta, GA"
"Senior Scientist, Development",Asuragen,"Austin, TX"
Data Software Engineer,Kelvin,"Austin, TX"
Bioinformatics Scientist,Premierehire,"Austin, TX"
"Research Engineering/ Scientist Associate II - Research Associate, Data Integration Team, Department of Population Health",University of Texas at Austin,"Austin, TX"
Lead Data Scientist,Clockwork Solutions,"Austin, TX 78746"
GIS Analyst and Research Associate,Banks Environmental Data,"Austin, TX 78701"
"Sr Software Engineer, Applied Machine Learning",Apple,"Austin, TX"
ML Engineer,Cognitive Scale,"Austin, TX"
"Senior Operations Analyst, Omni",Spectrum Brands,"Austin, TX"
Senior Machine Learning Research Scientist,Arm,"Austin, TX"
GBO Data Scientist - Sr. Advisor,DELL,"Round Rock, TX 78664"
Controls and Automation Scientist,National Oilwell Varco,"Cedar Park, TX 78613"
Machine Learning Scientist,Amazon.com,"Austin, TX"
"Research Engineering/ Scientist Associate IV - Research Engineering Scientist Associate IV, Neurosurgery",University of Texas at Austin,"Austin, TX"
Senior Software Engineer - C++ for Scientific Toolkits & High Performance Algorithms,HeartFlow,"Austin, TX"
Data Analyst - Public Education Data Analysis,Legislative Budget Board,"Austin, TX"
Software Defined Radio (SDR) FPGA Principal Engineer- Secret Required,CACI,"Austin, TX 78759"
"Senior Software Engineer, CRM","RetailMeNot, Inc.","Austin, TX"
Principal Data Scientist,Prestige Staffing,"Austin, TX 78759"
"Data Scientist 4, Poker",Zynga,"Austin, TX"
System Engineer/ Project Engineer,CACI,"Austin, TX 78759"
System Engineer/ Project Engineer- TS/SCI Required,CACI,"Austin, TX 78759"
Senior Machine Learning Engineer,"New Iron Group, Inc.","Austin, TX 78702"
DPS - LES - Forensic Scientist I-III (Firearms/Toolmarks),TEXAS DEPARTMENT OF PUBLIC SAFETY,"Austin, TX"
Data Scientist / Operations Research Engineer,"Advanced Micro Devices, Inc.","Austin, TX"
Data Analyst,Applied Systems Inc.,"Austin, TX"
Research Scientist (Neuroscience),Senseye,"Austin, TX"
Sr Data Scientist - Autonomy,SparkCognition,"Austin, TX 78759"
Senior Data Scientist,HireStarter,"Austin, TX 78751"
Research Analyst In-House Counsel,Deeter Investments LLP,"Austin, TX"
"Consultant, Data Scientist",DELL,"Round Rock, TX 78664"
Senior Data Scientist -Security & Malware -DeepArmor,SparkCognition,"Austin, TX 78759"
Data Scientist -Transit,Cubic Corporation,"Austin, TX"
Multi-Int Data Scientist,CACI,"Austin, TX 78759"
Senior Data Scientist,"RetailMeNot, Inc.","Austin, TX"
Data Scientist,IBM,"Austin, TX 73344"
Data Science Engineer,Apple,"Austin, TX"
Environmental Scientist and Environmental Scientist Sr. (Temporary),City of Austin,"Austin, TX 78702"
Sr Data Scientist - Vision,SparkCognition,"Austin, TX 78759"
Statistical Analyst,Ledcor,"Austin, TX"
Water Resources Planner / Scientist - Water Business,Black & Veatch,"Austin, TX 78701"
Research Scientist (Vision Science),Senseye,"Austin, TX"
Human Capital Research Scientist,ICF,"Austin, TX"
Principal Data Scientist,Clockwork Solutions,"Austin, TX 78746"
AI/ML Scientist,General Motors,"Austin, TX"
Senior Quantitative Analyst,Santanna Energy Services,"Austin, TX 78729"
Chief Data Scientist Solution Architect - Virtual / Texas Job,SAIC,"Austin, TX 78758"
"Scientist, Bioinformatics",Thermo Fisher Scientific,"Austin, TX 73344"
Medical Research Specialist - Policy Analyst,Health & Human Services Comm,"Austin, TX"
Machine Learning Engineer,Keller Williams,"Austin, TX 78746"
Food Scientist,The Hershey Company,"Austin, TX"
Research Scientist II,ICF,"Austin, TX"
Engineering Scientist Associate - GNSS Analyst,University of Texas at Austin,"Austin, TX"
Quantitative Data Analyst,Pacific Investment Management Company LLC,"Austin, TX"
Medical Lab Scientist (MLS),"Seton Family of Hospitals, TX","Austin, TX"
Senior Data Scientist – IoT Cloud Services,Arm,"Austin, TX"
Engineering Scientist Associate,University of Texas at Austin,"Austin, TX"
Quantitative Analyst - Bank Financial Risk,RockBridge Search & Recruitment,"Austin, TX"
Engineering Scientist - GNSS Analyst,University of Texas at Austin,"Austin, TX"
Research Scientist - Sedimentary Petrographer,University of Texas at Austin,"Austin, TX"
Sr. Research Scientist,DELL,"Round Rock, TX 78664"
Molecular Research and Development Scientist,Sonic Healthcare USA,"Austin, TX"
Research Analyst - Advanced Analytics,Schireson,"Austin, TX"
Medical Research Specialist - Polcy Analyst,Health & Human Services Comm,"Austin, TX"
Credit Research Analyst,Pacific Investment Management Company LLC,"Austin, TX"
Research Engineering/ Scientist Associate I,University of Texas at Austin,"Austin, TX"
Engineering Scientist Associate - Software Engineering Associate,University of Texas at Austin,"Austin, TX"
Scientist III/Staff Scientist IVD Compliance,Thermo Fisher Scientific,"Austin, TX 73344"
Research Engineering/ Scientist Associate III - Visualization Specialist,University of Texas at Austin,"Austin, TX"
Project Analyst,National Instruments,"Austin, TX"
Research Engineering/ Scientist Assistant,University of Texas at Austin,"Austin, TX"
Compliance Quantitative Data Analyst,TSYS,"Austin, TX"
Project Analyst,National instrument,"Austin, TX"
Data Analyst Disaster Recovery Implementation,ICF,"Austin, TX"
Lead Scientist - Machine Learning (58401),"Advanced Micro Devices, Inc.","Austin, TX"
Engineering Scientist - Underwater Sensor Perception Algorithm Designer,University of Texas at Austin,"Austin, TX"
Libraries Engineer - Machine Learning,"Advanced Micro Devices, Inc.","Austin, TX"
Senior Research Analyst,Wholefoods,"Austin, TX 78703"
Quantitative Marketing Analyst,LawnStarter,"Austin, TX"
"Senior Scientist, Data Science Architect",Asuragen,"Austin, TX"
"Senior Scientist, Research",Asuragen,"Austin, TX"
Machine Learning Research Scientist,Cognitive Scale,"Austin, TX"
HPC Analytics Research Scientist,Arm,"Austin, TX"
Sr. Data Scientist/Modeling & Simulation Engineer Expert,B3 Group Inc,"Austin, TX 78744"
Clinical Research Scientist,Abbott Laboratories,"Austin, TX"
Engineering Scientist - Digital Signal Processing Scientist,University of Texas at Austin,"Austin, TX"
Senior Data Warehouse Analyst,T3,"Austin, TX"
Research Engineering/ Scientist Associate III - TexNet Operations Associate,University of Texas at Austin,"Austin, TX"
Engineering Scientist - R and D User Interface Software Developer,University of Texas at Austin,"Austin, TX"
Software Development Principal Engineer – Data Scientist,DELL,"Austin, TX"
Air Quality Staff Engineer/Scientist,"POWER Engineers, Inc.","Austin, TX"
Sales Engineer,Anaconda,"Austin, TX"
Engineering Scientist Associate - Software Defined Radio Receiver Hardware Developer,University of Texas at Austin,"Austin, TX"
Front End Software Engineer,Novi Labs,"Austin, TX 78723"
Senior Research Analyst,IHS Markit,"Austin, TX 78731"
Engineering Scientist - Software Defined Radio Receiver Developer,University of Texas at Austin,"Austin, TX"
Senior Business Intelligence Analyst,PLAYSTUDIOS Inc,"Austin, TX 78701"
"Software Development Engineer, Homepage Personalization Team",Amazon.com,"Austin, TX"
Sr. Engineering Analyst/Sr. Data Engineer,B3 Group Inc,"Austin, TX 78744"
Research Engineering/ Scientist Associate IV - Senior Remote Sensing Scientist,University of Texas at Austin,"Austin, TX"
Engineering Scientist - Senior Systems Engineering Scientist,University of Texas at Austin,"Austin, TX"
Big Data Pipeline Software Engineer - Java/Scala,Dau International LLC,"Austin, TX"
Research Engineering/ Scientist Associate II - Lab Manager,University of Texas at Austin,"Austin, TX"
Research Scientist (Computer Architecture for Machine Learning),NVIDIA,"Austin, TX"
Scientist/Ecologist,Atkins,"Austin, TX"
"Research Engineering/ Scientist Associate II - Research Assistant, Psychiatry",University of Texas at Austin,"Austin, TX"
Senior Market Research Analyst,Pearson,"Austin, TX"
Research Engineering/ Scientist Assistant - Research Engineering Scientist Assistant,University of Texas at Austin,"Austin, TX"
"Data and Analytics Engineer, Python Developer",Sensoleak,"Austin, TX"
Sr. Libraries Engineer - Machine Learning,"Advanced Micro Devices, Inc.","Austin, TX"
Lead Biological Scientist,PAE,"Austin, TX"
Software Engineer III,BlackLocus,"Austin, TX 78701"
Machine Learning Principal Performance Engineer,"Advanced Micro Devices, Inc.","Austin, TX"
Sr. SPC (Statistical Process Control) Engineer,NXP Semiconductors,"Austin, TX"
"Cognitive Research Scientist (SME), Cognitive Computing",State Street,"Austin, TX 78701"
Senior Software Engineer II,Asuragen,"Austin, TX"
Senior Data Scientist,Valkyrie Intelligence,"Austin, TX"
Network Security Analyst,ICF,"Austin, TX"
Data Scientist,"ScaleFactor, Inc.","Austin, TX"
Software Engineer (QA),KLA-Tencor,"Austin, TX"
Data Scientist - Data Product Development (PhD),Visa,"Austin, TX"
Data Scientist - TX,Kelvin,"Austin, TX"
Senior Data Scientist,SPK Consultants Inc,"Austin, TX"
Data Scientist-ISD,Walmart,"Austin, TX 78716"
Senior - Data Scientist,EY,"Austin, TX"
Data Science Analyst - Strategic Data Solutions,Apple,"Austin, TX"
Software Systems Engineer,KLA-Tencor,"Austin, TX"
Software Engineer (BS - NG) for 2018,National Instruments,"Austin, TX"
Senior Software Engineer,Clockwork Solutions,"Austin, TX 78746"
Sr. Staff Data Software Engineer,Visa,"Austin, TX"
CPA - Financial Reporting Research Analyst,COMPTROLLER OF PUBLIC ACCOUNTS,"Austin, TX"
"Sr. Engineering Manager, Applied Machine Learning",Apple,"Austin, TX"
Software Engineer (MS – NG) for 2018,National Instruments,"Austin, TX"
Engineering Scientist - Senior Software Defined Radio Receiver Software Developer,University of Texas at Austin,"Austin, TX"
Public Health Policy Research Analyst / Technical Writer,Accenture,"Austin, TX"
Cognitive Software Engineer,State Street,"Austin, TX 78701"
Sr. Software/ Platform Engineer,Anaconda,"Austin, TX"
Senior Software Engineer,BlackLocus,"Austin, TX 78701"
Water Resources Engineer 5,CDM Smith,"Austin, TX 78727"
Software Engineer - AI implementation,eBay Inc.,"Austin, TX 78746"
Staff Software Engineer,General Electric,"Austin, TX 73344"
"Senior Staff Design Engineer (Machine Learning, 52162)","Advanced Micro Devices, Inc.","Austin, TX"
"Data Scientist, Austin",Code Pilot,"Austin, TX"
Data Scientist,Atlas Wearables,"Austin, TX"
"Junior Data Scientist, Dell HR - Diversity & Inclusion",DELL,"Austin, TX"
Data Mining Scientist,Apple,"Austin, TX"
Data Scientist,KEYW Corporation,"Austin, TX"
Data Scientist,Applied Systems Inc.,"Austin, TX"
Data Scientist,SHI International Corp.,"Austin, TX"
Data Scientist,BlackLocus,"Austin, TX 78701"
"Junior Data Scientist, Dell HR - Talent Acquisition",DELL,"Austin, TX"
HPC Software Engineer II,UCAR,"Boulder, CO"
WRF-Hydro/National Water Model Software Engineer III,UCAR,"Boulder, CO"
Machine Learning Engineer - Language Modeling,SoundHound Inc.,"Boulder, CO"
Research Scientist (Emerging Technologies),"Sensory, Inc","Boulder, CO"
Senior Engineer - Cryo Systems (664049),Ball Aerospace,"Boulder, CO"
Principal Engineer- Mechanical (663909),Ball Aerospace,"Boulder, CO"
Engineer II-Mechanical (663905),Ball Aerospace,"Boulder, CO"
Associate Engineer-Industrial Engineering (664154),Ball Aerospace,"Boulder, CO"
Engineer Associate - Systems (663794),Ball Aerospace,"Boulder, CO"
Associate Engineer - M P (664248),Ball Aerospace,"Boulder, CO"
Product and Market Research Analyst,Elevations Credit Union,"Boulder, CO"
Engineer Senior - Electrical System Integration & Test (663756) - Security Clearance Required,Ball Aerospace,"Boulder, CO"
Project Engineer II - Electronic Systems Integration & Test (659059) - Security clearance required,Ball Aerospace,"Boulder, CO"
Engineer Principal-Electrical Power Systems (662772) - Security clearance required,Ball Aerospace,"Boulder, CO"
Senior Engineer-Spacecraft Bus Lead (662952) - Security clearance required,Ball Aerospace,"Boulder, CO"
Engineer I-Electrical System Integration & Test (663754)- Security Clearance Required,Ball Aerospace,"Boulder, CO"
Data Quality Analyst,Splunk,"Boulder, CO"
Senior Engineer - Spacecraft Electrical Systems Engineer (661998),Ball Aerospace,"Boulder, CO"
Engineer Principal - Electrical System Integration & Test (663757),Ball Aerospace,"Boulder, CO"
Sr. FPGA Verification Engineer,Blackstone Technology Group,"Boulder, CO"
Senior Engineer-Electrical System Integration & Test (664233),Ball Aerospace,"Boulder, CO"
Electrical Project Engineer II (661667) - Security Clearance Required,Ball Aerospace,"Boulder, CO"
Principal Engineer-Mission Systems Architect (663394) - Security clearance required,Ball Aerospace,"Boulder, CO"
Senior Engineer-Electrical Power Systems (662760) - Security clearance required,Ball Aerospace,"Boulder, CO"
Project Engineer Senior - Systems Integration & Test (663337) - Security clearance required,Ball Aerospace,"Boulder, CO"
"Senior Engineer-Guidance, Navigation & Control (GN C ) - Security Clearance Required (663361)",Ball Aerospace,"Boulder, CO"
Principal Engineer-Electro-Optical Payload Systems (663982) - Security clearance required,Ball Aerospace,"Boulder, CO"
Senior Data Scientist,Recurly,"Boulder, CO"
Data Scientist,Splunk,"Boulder, CO"
Data Scientist,Gaia International Inc.,"Boulder, CO"
Research Scientist (Vision Technology),"Sensory, Inc","Boulder, CO"
Airborne Imaging Spectrometer Calibration Scientist,National Ecological Observatory Network Inc,"Boulder, CO"
Environmental Scientist III,GSI Service Group Inc,"Boulder, CO"
Data Scientist,CA Technologies,"Boulder, CO"
Data Scientist,Trimble Inc.,"Boulder, CO"
Mesoscale Data Assimilation Scientist,University of Colorado,"Boulder, CO"
Geospace Model Scientist / Scientific Developer,University of Colorado,"Boulder, CO"
"Quantitative Business Analyst, Google Technical Services",Google,"Boulder, CO 80302"
CIRES/SWPC Space Weather Scientist *Closes 7/31/2018,University of Colorado,"Boulder, CO"
"Experiments and Modelling Analyst, Google Technical Services",Google,"Boulder, CO 80302"
Scientist I/II (ADX-69-18),"ArcherDX, INC.","Boulder, CO 80301"
"Clinical Scientist, Endpoints and Outcomes","Miragen Therapeutics, Inc.","Boulder, CO 80301"
Business Analytics Analyst,Delve,"Boulder, CO"
Scientist I/II - Bioinformatics 2018-132,"SomaLogic, Inc.","Boulder, CO 80301"
Scientist I/II - Bioinformatics,"Somalogic, Inc.","Boulder, CO 80301"
Associate Scientist,"Miragen Therapeutics, Inc.","Boulder, CO 80301"
"Scientist, Cell Biology, Small Molecule Drug Discovery and New Target ID/Validation",Array BioPharma,"Boulder, CO 80301"
Digital Analyst / Media Trader,Delve,"Boulder, CO"
Targeted Search-CSD Guest Scientist Research Associate,University of Colorado,"Boulder, CO"
CIRES/ GSD Research Associate: Numerical Weather Prediction Scientist,University of Colorado,"Boulder, CO"
"Meteorological Data Systems Programmer/Analyst, RA III",Cooperative Institute for Research in the Atmosphere,"Boulder, CO"
Sr. Data Engineer,"Pandora Media, Inc.","Boulder, CO"
Engineering Aide I-Configuration & Data Management (663575),Ball Aerospace,"Boulder, CO"
Project Controls Analyst I (664192),Ball Aerospace,"Boulder, CO"
Senior Research Analyst - Energy,S&P Global,"Boulder, CO"
Numerical Algorithm Software Engineer,SciTec,"Boulder, CO"
